Time_Index,natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery
250,1.0,1.0,1.0,0.047679,0.054,0.0941,0.0941,1.0
251,1.0,1.0,1.0,0.056438,0.0496,0.0897,0.0897,1.0
252,1.0,1.0,1.0,0.060204,0.0507,0.0927,0.0927,1.0
253,1.0,1.0,1.0,0.049967,0.072,0.1225,0.1225,1.0
254,1.0,1.0,1.0,0.048839,0.076,0.1903,0.1903,1.0
255,1.0,1.0,1.0,0.033476,0.0971,0.2814,0.2814,1.0
256,1.0,1.0,1.0,0.014738,0.1314,0.412,0.412,1.0
257,1.0,1.0,1.0,0.000997,0.1642,0.508,0.508,1.0
258,1.0,1.0,1.0,0.0,0.2311,0.5736,0.5736,1.0
259,1.0,1.0,1.0,0.0,0.3083,0.664,0.664,1.0
260,1.0,1.0,1.0,0.0,0.3681,0.753,0.753,1.0
261,1.0,1.0,1.0,0.0,0.3929,0.8044,0.8044,1.0
262,1.0,1.0,1.0,0.0,0.4239,0.8226,0.8226,1.0
263,1.0,1.0,1.0,0.0,0.5257,0.8359,0.8359,1.0
264,1.0,1.0,1.0,0.0,0.6793,0.8562,0.8562,1.0
265,1.0,1.0,1.0,0.0,0.682,0.869,0.869,1.0
266,1.0,1.0,1.0,0.0,0.7165,0.888,0.888,1.0
267,1.0,1.0,1.0,0.0,0.6675,0.8911,0.8911,1.0
268,1.0,1.0,1.0,0.0,0.6068,0.8897,0.8897,1.0
269,1.0,1.0,1.0,0.0,0.5921,0.8867,0.8867,1.0
270,1.0,1.0,1.0,0.0,0.6736,0.8772,0.8772,1.0
271,1.0,1.0,1.0,0.0,0.5748,0.8508,0.8508,1.0
272,1.0,1.0,1.0,0.006005,0.5171,0.7909,0.7909,1.0
273,1.0,1.0,1.0,0.069797,0.4807,0.6882,0.6882,1.0
274,1.0,1.0,1.0,0.153512,0.4136,0.5909,0.5909,1.0
275,1.0,1.0,1.0,0.147777,0.3231,0.5079,0.5079,1.0
276,1.0,1.0,1.0,0.138286,0.3179,0.3734,0.3734,1.0
277,1.0,1.0,1.0,0.134578,0.3084,0.3352,0.3352,1.0
278,1.0,1.0,1.0,0.122448,0.2824,0.2904,0.2904,1.0
279,1.0,1.0,1.0,0.118662,0.2158,0.291,0.291,1.0
280,1.0,1.0,1.0,0.064814,0.1528,0.3275,0.3275,1.0
281,1.0,1.0,1.0,0.0072,0.1837,0.4865,0.4865,1.0
282,1.0,1.0,1.0,0.0,0.1659,0.5664,0.5664,1.0
283,1.0,1.0,1.0,0.0,0.2448,0.6886,0.6886,1.0
284,1.0,1.0,1.0,0.0,0.1883,0.7336,0.7336,1.0
285,1.0,1.0,1.0,0.0,0.1592,0.7475,0.7475,1.0
286,1.0,1.0,1.0,0.0,0.1699,0.7304,0.7304,1.0
287,1.0,1.0,1.0,0.0,0.2366,0.7355,0.7355,1.0
288,1.0,1.0,1.0,0.0,0.2324,0.7535,0.7535,1.0
289,1.0,1.0,1.0,0.0,0.2285,0.7536,0.7536,1.0
290,1.0,1.0,1.0,0.0,0.2242,0.6792,0.6792,1.0
291,1.0,1.0,1.0,0.0,0.2624,0.6679,0.6679,1.0
292,1.0,1.0,1.0,0.0,0.3456,0.5495,0.5495,1.0
293,1.0,1.0,1.0,0.0,0.4295,0.4557,0.4557,1.0
294,1.0,1.0,1.0,0.0,0.3114,0.4708,0.4708,1.0
295,1.0,1.0,1.0,0.0,0.3122,0.452,0.452,1.0
296,1.0,1.0,1.0,0.001198,0.3632,0.5485,0.5485,1.0
297,1.0,1.0,1.0,0.011602,0.3858,0.5641,0.5641,1.0
298,1.0,1.0,1.0,0.014697,0.34,0.6738,0.6738,1.0
299,1.0,1.0,1.0,0.028589,0.2963,0.839,0.839,1.0
300,1.0,1.0,1.0,0.084276,0.241,0.885,0.885,1.0
301,1.0,1.0,1.0,0.09906,0.177,0.8912,0.8912,1.0
302,1.0,1.0,1.0,0.114643,0.2431,0.895,0.895,1.0
303,1.0,1.0,1.0,0.113175,0.2979,0.894,0.894,1.0
304,1.0,1.0,1.0,0.065091,0.4448,0.8853,0.8853,1.0
305,1.0,1.0,1.0,0.005997,0.5061,0.8634,0.8634,1.0
306,1.0,1.0,1.0,0.0,0.5596,0.8921,0.8921,1.0
307,1.0,1.0,1.0,0.0,0.7329,0.8755,0.8755,1.0
308,1.0,1.0,1.0,0.0,0.6984,0.8838,0.8838,1.0
309,1.0,1.0,1.0,0.0,0.7214,0.8761,0.8761,1.0
310,1.0,1.0,1.0,0.0,0.6925,0.8858,0.8858,1.0
311,1.0,1.0,1.0,0.0,0.6681,0.8925,0.8925,1.0
312,1.0,1.0,1.0,0.0,0.7141,0.8965,0.8965,1.0
313,1.0,1.0,1.0,0.0,0.7678,0.8976,0.8976,1.0
314,1.0,1.0,1.0,0.0,0.8361,0.8974,0.8974,1.0
315,1.0,1.0,1.0,0.0,0.834,0.8965,0.8965,1.0
316,1.0,1.0,1.0,0.0,0.8423,0.8974,0.8974,1.0
317,1.0,1.0,1.0,0.0,0.8608,0.8955,0.8955,1.0
318,1.0,1.0,1.0,0.0,0.8574,0.8955,0.8955,1.0
319,1.0,1.0,1.0,0.0,0.8699,0.8923,0.8923,1.0
320,1.0,1.0,1.0,0.009594,0.8574,0.8698,0.8698,1.0
321,1.0,1.0,1.0,0.137631,0.8444,0.8472,0.8472,1.0
322,1.0,1.0,1.0,0.314102,0.8158,0.7851,0.7851,1.0
323,1.0,1.0,1.0,0.448376,0.8002,0.7009,0.7009,1.0
324,1.0,1.0,1.0,0.413064,0.748,0.5489,0.5489,1.0
325,1.0,1.0,1.0,0.327622,0.7106,0.4069,0.4069,1.0
326,1.0,1.0,1.0,0.269156,0.6912,0.305,0.305,1.0
327,1.0,1.0,1.0,0.160488,0.6281,0.2398,0.2398,1.0
328,1.0,1.0,1.0,0.0632,0.548,0.187,0.187,1.0
329,1.0,1.0,1.0,0.004803,0.5523,0.1692,0.1692,1.0
330,1.0,1.0,1.0,0.0,0.4488,0.1515,0.1515,1.0
331,1.0,1.0,1.0,0.0,0.3964,0.1429,0.1429,1.0
332,1.0,1.0,1.0,0.0,0.285,0.1407,0.1407,1.0
333,1.0,1.0,1.0,0.0,0.2092,0.1567,0.1567,1.0
334,1.0,1.0,1.0,0.0,0.203,0.1606,0.1606,1.0
335,1.0,1.0,1.0,0.0,0.2244,0.1782,0.1782,1.0
336,1.0,1.0,1.0,0.0,0.186,0.2325,0.2325,1.0
337,1.0,1.0,1.0,0.0,0.1911,0.269,0.269,1.0
338,1.0,1.0,1.0,0.0,0.1805,0.3196,0.3196,1.0
339,1.0,1.0,1.0,0.0,0.1946,0.3504,0.3504,1.0
340,1.0,1.0,1.0,0.0,0.1911,0.3172,0.3172,1.0
341,1.0,1.0,1.0,0.0,0.1977,0.3308,0.3308,1.0
342,1.0,1.0,1.0,0.0,0.1805,0.4028,0.4028,1.0
343,1.0,1.0,1.0,0.0,0.1706,0.4158,0.4158,1.0
344,1.0,1.0,1.0,0.004199,0.1566,0.347,0.347,1.0
345,1.0,1.0,1.0,0.022412,0.1408,0.2825,0.2825,1.0
346,1.0,1.0,1.0,0.01844,0.1418,0.2659,0.2659,1.0
347,1.0,1.0,1.0,0.024727,0.1013,0.2565,0.2565,1.0
348,1.0,1.0,1.0,0.065354,0.0915,0.2259,0.2259,1.0
349,1.0,1.0,1.0,0.068362,0.0849,0.2266,0.2266,1.0
350,1.0,1.0,1.0,0.064253,0.0999,0.2609,0.2609,1.0
351,1.0,1.0,1.0,0.038889,0.1357,0.2812,0.2812,1.0
352,1.0,1.0,1.0,0.021793,0.1795,0.3512,0.3512,1.0
353,1.0,1.0,1.0,0.002001,0.2088,0.4313,0.4313,1.0
354,1.0,1.0,1.0,0.0,0.2347,0.554,0.554,1.0
355,1.0,1.0,1.0,0.0,0.1816,0.6714,0.6714,1.0
356,1.0,1.0,1.0,0.0,0.1782,0.7695,0.7695,1.0
357,1.0,1.0,1.0,0.0,0.1431,0.8205,0.8205,1.0
358,1.0,1.0,1.0,0.0,0.1502,0.8556,0.8556,1.0
359,1.0,1.0,1.0,0.0,0.1498,0.8734,0.8734,1.0
360,1.0,1.0,1.0,0.0,0.1552,0.8654,0.8654,1.0
361,1.0,1.0,1.0,0.0,0.1176,0.8519,0.8519,1.0
362,1.0,1.0,1.0,0.0,0.1296,0.8321,0.8321,1.0
363,1.0,1.0,1.0,0.0,0.1901,0.8322,0.8322,1.0
364,1.0,1.0,1.0,0.0,0.2455,0.8089,0.8089,1.0
365,1.0,1.0,1.0,0.0,0.253,0.8443,0.8443,1.0
366,1.0,1.0,1.0,0.0,0.2761,0.8074,0.8074,1.0
367,1.0,1.0,1.0,0.0,0.3282,0.8175,0.8175,1.0
368,1.0,1.0,1.0,0.010011,0.3562,0.8269,0.8269,1.0
369,1.0,1.0,1.0,0.118993,0.351,0.8341,0.8341,1.0
370,1.0,1.0,1.0,0.266543,0.3428,0.8271,0.8271,1.0
371,1.0,1.0,1.0,0.41022,0.3767,0.8358,0.8358,1.0
372,1.0,1.0,1.0,0.457123,0.4751,0.8357,0.8357,1.0
