Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,omega,Rel_TimeStep
,,,,,,,256,15741.977,5.0,1
,,,,,,,257,16757.619,5.0,1
,,,,,,,258,17906.157,5.0,1
,,,,,,,259,18524.969,5.0,1
,,,,,,,260,17969.291,5.0,1
,,,,,,,261,16798.968,5.0,1
,,,,,,,262,15560.67,5.0,1
,,,,,,,263,13990.506,5.0,1
,,,,,,,264,12866.474,5.0,1
,,,,,,,265,11974.626,5.0,1
,,,,,,,266,11752.71,5.0,1
,,,,,,,267,11544.061,5.0,1
,,,,,,,268,11570.465,5.0,1
,,,,,,,269,11922.883,5.0,1
,,,,,,,270,13100.901,5.0,1
,,,,,,,271,15190.539,5.0,1
,,,,,,,272,16650.058,5.0,1
,,,,,,,273,16948.645,5.0,1
,,,,,,,274,17162.674,5.0,1
,,,,,,,275,17747.745,5.0,1
,,,,,,,276,17527.058,5.0,1
,,,,,,,277,17348.453,5.0,1
,,,,,,,278,17162.011,5.0,1
,,,,,,,279,16765.941,5.0,1
,,,,,,,280,16779.743,5.0,1
,,,,,,,281,17366.084,5.0,1
,,,,,,,282,18416.51,5.0,1
,,,,,,,283,18400.936,5.0,1
,,,,,,,284,17835.962,5.0,1
,,,,,,,285,17253.548,5.0,1
,,,,,,,286,16095.031,5.0,1
,,,,,,,287,14951.987,5.0,1
,,,,,,,288,13433.282,5.0,1
,,,,,,,289,12299.965,5.0,1
,,,,,,,290,11880.126,5.0,1
,,,,,,,291,11794.389,5.0,1
,,,,,,,292,11652.489,5.0,1
,,,,,,,293,11766.105,5.0,1
,,,,,,,294,11922.444,5.0,1
,,,,,,,295,13058.147,5.0,1
,,,,,,,296,13943.042,5.0,1
,,,,,,,297,14944.228,5.0,1
,,,,,,,298,15600.398,5.0,1
,,,,,,,299,17109.708,5.0,1
,,,,,,,300,17171.599,5.0,1
,,,,,,,301,17049.513,5.0,1
,,,,,,,302,17282.419,5.0,1
,,,,,,,303,17143.804,5.0,1
,,,,,,,304,16834.133,5.0,1
,,,,,,,305,17300.292,5.0,1
,,,,,,,306,17813.728,5.0,1
,,,,,,,307,17377.652,5.0,1
,,,,,,,308,16350.726,5.0,1
,,,,,,,309,15890.984,5.0,1
,,,,,,,310,14774.924,5.0,1
,,,,,,,311,13910.447,5.0,1
,,,,,,,312,12854.093,5.0,1
,,,,,,,313,12054.504,5.0,1
,,,,,,,314,11708.629,5.0,1
,,,,,,,315,11679.174,5.0,1
,,,,,,,316,11727.659,5.0,1
,,,,,,,317,12278.89,5.0,1
,,,,,,,318,12934.192,5.0,1
,,,,,,,319,14753.212,5.0,1
,,,,,,,320,14447.537,5.0,1
,,,,,,,321,17022.67,5.0,1
,,,,,,,322,16924.18,5.0,1
,,,,,,,323,17299.406,5.0,1
,,,,,,,324,16948.723,5.0,1
,,,,,,,325,16899.247,5.0,1
,,,,,,,326,17409.713,5.0,1
,,,,,,,327,16948.776,5.0,1
,,,,,,,328,16997.211,5.0,1
,,,,,,,329,17349.292,5.0,1
,,,,,,,330,17640.245,5.0,1
,,,,,,,331,17572.029,5.0,1
,,,,,,,332,17181.526,5.0,1
,,,,,,,333,16528.725,5.0,1
,,,,,,,334,15659.654,5.0,1
,,,,,,,335,14826.095,5.0,1
,,,,,,,336,13537.241,5.0,1
,,,,,,,337,12523.557,5.0,1
,,,,,,,338,11863.479,5.0,1
,,,,,,,339,11677.176,5.0,1
,,,,,,,340,11600.547,5.0,1
,,,,,,,341,11971.823,5.0,1
,,,,,,,342,13098.822,5.0,1
,,,,,,,343,15013.894,5.0,1
,,,,,,,344,16184.793,5.0,1
,,,,,,,345,16400.428,5.0,1
,,,,,,,346,17171.499,5.0,1
,,,,,,,347,17521.513,5.0,1
,,,,,,,348,17603.455,5.0,1
,,,,,,,349,17668.074,5.0,1
,,,,,,,350,17607.405,5.0,1
,,,,,,,351,17133.499,5.0,1
,,,,,,,352,17437.306,5.0,1
,,,,,,,353,18653.24,5.0,1
,,,,,,,354,19342.313,5.0,1
,,,,,,,355,19231.151,5.0,1
,,,,,,,356,18600.696,5.0,1
,,,,,,,357,17769.264,5.0,1
,,,,,,,358,16293.911,5.0,1
,,,,,,,359,14658.565,5.0,1
,,,,,,,360,13111.109,5.0,1
,,,,,,,361,12283.169,5.0,1
,,,,,,,362,11749.425,5.0,1
,,,,,,,363,11593.275,5.0,1
,,,,,,,364,11544.667,5.0,1
,,,,,,,365,11923.374,5.0,1
,,,,,,,366,13082.668,5.0,1
,,,,,,,367,15422.625,5.0,1
,,,,,,,368,16779.423,5.0,1
,,,,,,,369,16954.139,5.0,1
,,,,,,,370,16986.076,5.0,1
,,,,,,,371,17151.045,5.0,1
,,,,,,,372,17124.667,5.0,1
,,,,,,,373,17064.94,5.0,1
,,,,,,,374,16652.031,5.0,1
,,,,,,,375,16509.69,5.0,1
,,,,,,,376,16838.584,5.0,1
,,,,,,,377,17594.954,5.0,1
,,,,,,,378,18781.957,5.0,1
,,,,,,,379,18599.67,5.0,1
,,,,,,,380,17989.303,5.0,1
,,,,,,,381,17284.527,5.0,1
,,,,,,,382,16344.303,5.0,1
,,,,,,,383,15034.113,5.0,1
,,,,,,,384,13756.8,5.0,1
,,,,,,,385,12840.568,5.0,1
,,,,,,,386,12039.587,5.0,1
,,,,,,,387,11720.904,5.0,1
,,,,,,,388,11725.955,5.0,1
,,,,,,,389,11770.716,5.0,1
,,,,,,,390,12353.45,5.0,1
,,,,,,,391,14302.046,5.0,1
,,,,,,,392,16074.716,5.0,1
,,,,,,,393,17007.724,5.0,1
,,,,,,,394,17133.99,5.0,1
,,,,,,,395,17319.59,5.0,1
,,,,,,,396,17690.994,5.0,1
,,,,,,,397,17572.052,5.0,1
,,,,,,,398,17399.835,5.0,1
,,,,,,,399,16570.191,5.0,1
,,,,,,,400,16573.317,5.0,1
,,,,,,,401,17361.513,5.0,1
,,,,,,,402,18680.975,5.0,1
,,,,,,,403,18439.417,5.0,1
,,,,,,,404,18315.853,5.0,1
,,,,,,,405,17703.259,5.0,1
,,,,,,,406,16643.704,5.0,1
,,,,,,,407,14955.549,5.0,1
,,,,,,,408,13456.451,5.0,1
,,,,,,,409,12552.242,5.0,1
,,,,,,,410,11869.689,5.0,1
,,,,,,,411,11678.11,5.0,1
,,,,,,,412,11795.625,5.0,1
,,,,,,,413,12216.891,5.0,1
,,,,,,,414,12491.545,5.0,1
,,,,,,,415,13765.653,5.0,1
,,,,,,,416,14586.767,5.0,1
,,,,,,,417,15873.842,5.0,1
,,,,,,,418,17112.034,5.0,1
,,,,,,,419,17402.735,5.0,1
,,,,,,,420,17060.778,5.0,1
,,,,,,,421,16441.632,5.0,1
,,,,,,,422,16610.254,5.0,1
,,,,,,,423,16501.541,5.0,1
,,,,,,,424,16898.278,5.0,1
,,,,,,,425,17673.946,5.0,1
,,,,,,,426,18900.922,5.0,1
,,,,,,,427,18872.016,5.0,1
,,,,,,,428,18261.519,5.0,1
,,,,,,,429,17446.566,5.0,1
,,,,,,,430,16566.283,5.0,1
,,,,,,,431,15122.445,5.0,1
,,,,,,,432,13913.989,5.0,1
,,,,,,,433,13110.387,5.0,1
,,,,,,,434,12684.746,5.0,1
,,,,,,,435,12553.739,5.0,1
,,,,,,,436,12521.891,5.0,1
,,,,,,,437,12889.187,5.0,1
,,,,,,,438,13917.306,5.0,1
,,,,,,,439,16541.343,5.0,1
,,,,,,,440,18032.053,5.0,1
,,,,,,,441,18379.304,5.0,1
,,,,,,,442,18406.959,5.0,1
,,,,,,,443,17044.601,5.0,1
,,,,,,,444,17103.759,5.0,1
,,,,,,,445,17241.944,5.0,1
,,,,,,,446,17556.052,5.0,1
,,,,,,,447,17255.617,5.0,1
,,,,,,,448,17109.814,5.0,1
,,,,,,,449,17945.95,5.0,1
,,,,,,,450,18783.267,5.0,1
,,,,,,,451,18237.72,5.0,1
,,,,,,,452,17895.889,5.0,1
,,,,,,,453,17189.936,5.0,1
,,,,,,,454,16395.858,5.0,1
,,,,,,,455,15067.452,5.0,1
,,,,,,,456,13755.048,5.0,1
,,,,,,,457,12775.127,5.0,1
,,,,,,,458,12281.527,5.0,1
,,,,,,,459,11932.872,5.0,1
,,,,,,,460,12152.182,5.0,1
,,,,,,,461,12210.793,5.0,1
,,,,,,,462,12506.327,5.0,1
,,,,,,,463,13851.91,5.0,1
,,,,,,,464,14597.086,5.0,1
,,,,,,,465,15484.016,5.0,1
,,,,,,,466,16090.155,5.0,1
,,,,,,,467,16540.796,5.0,1
,,,,,,,468,17030.847,5.0,1
,,,,,,,469,17094.413,5.0,1
,,,,,,,470,16933.312,5.0,1
,,,,,,,471,16780.648,5.0,1
,,,,,,,472,16581.109,5.0,1
,,,,,,,473,17723.53,5.0,1
,,,,,,,474,18782.239,5.0,1
,,,,,,,475,18718.692,5.0,1
,,,,,,,476,18128.291,5.0,1
,,,,,,,477,17443.064,5.0,1
,,,,,,,478,15888.258,5.0,1
,,,,,,,479,14473.977,5.0,1
,,,,,,,480,13414.161,5.0,1
,,,,,,,481,12554.382,5.0,1
,,,,,,,482,12039.543,5.0,1
,,,,,,,483,11676.95,5.0,1
,,,,,,,484,11794.101,5.0,1
,,,,,,,485,12164.732,5.0,1
,,,,,,,486,12884.183,5.0,1
,,,,,,,487,13729.802,5.0,1
,,,,,,,488,15755.03,5.0,1
,,,,,,,489,16674.973,5.0,1
,,,,,,,490,17196.482,5.0,1
,,,,,,,491,17547.463,5.0,1
,,,,,,,492,17635.051,5.0,1
,,,,,,,493,17690.3,5.0,1
,,,,,,,494,17638.563,5.0,1
,,,,,,,495,17338.293,5.0,1
,,,,,,,496,16657.401,5.0,1
,,,,,,,497,16929.149,5.0,1
,,,,,,,498,17786.754,5.0,1
,,,,,,,499,17573.469,5.0,1
,,,,,,,500,16352.536,5.0,1
,,,,,,,501,16208.418,5.0,1
,,,,,,,502,15017.277,5.0,1
,,,,,,,503,13754.517,5.0,1
,,,,,,,504,12565.973,5.0,1
,,,,,,,505,11725.643,5.0,1
,,,,,,,506,11208.359,5.0,1
,,,,,,,507,11007.384,5.0,1
,,,,,,,508,11261.559,5.0,1
,,,,,,,509,11924.685,5.0,1
,,,,,,,510,13104.078,5.0,1
,,,,,,,511,15498.53,5.0,1
,,,,,,,512,16794.509,5.0,1
,,,,,,,513,16910.705,5.0,1
,,,,,,,514,16488.646,5.0,1
,,,,,,,515,17068.814,5.0,1
,,,,,,,516,16845.142,5.0,1
,,,,,,,517,16830.194,5.0,1
,,,,,,,518,16634.563,5.0,1
,,,,,,,519,16320.933,5.0,1
,,,,,,,520,15873.704,5.0,1
,,,,,,,521,16505.422,5.0,1
,,,,,,,522,18091.713,5.0,1
,,,,,,,523,17792.254,5.0,1
,,,,,,,524,17172.912,5.0,1
,,,,,,,525,16528.637,5.0,1
,,,,,,,526,15671.253,5.0,1
,,,,,,,527,14672.68,5.0,1
,,,,,,,528,13417.803,5.0,1
,,,,,,,529,12265.886,5.0,1
,,,,,,,530,11866.158,5.0,1
,,,,,,,531,11536.924,5.0,1
,,,,,,,532,11465.141,5.0,1
,,,,,,,533,11300.524,5.0,1
,,,,,,,534,12072.381,5.0,1
,,,,,,,535,14936.477,5.0,1
,,,,,,,536,16225.222,5.0,1
,,,,,,,537,16203.235,5.0,1
,,,,,,,538,16873.816,5.0,1
,,,,,,,539,16999.451,5.0,1
,,,,,,,540,17097.481,5.0,1
,,,,,,,541,16568.322,5.0,1
,,,,,,,542,16517.953,5.0,1
,,,,,,,543,16192.2,5.0,1
,,,,,,,544,16154.966,5.0,1
,,,,,,,545,16825.266,5.0,1
,,,,,,,546,17939.542,5.0,1
,,,,,,,547,17529.45,5.0,1
,,,,,,,548,16815.107,5.0,1
,,,,,,,549,16064.813,5.0,1
,,,,,,,550,15044.872,5.0,1
,,,,,,,551,13491.99,5.0,1
,,,,,,,552,12221.468,5.0,1
,,,,,,,553,11321.761,5.0,1
,,,,,,,554,10948.764,5.0,1
,,,,,,,555,10860.482,5.0,1
,,,,,,,556,10839.587,5.0,1
,,,,,,,557,11134.168,5.0,1
,,,,,,,558,11775.357,5.0,1
,,,,,,,559,13091.552,5.0,1
,,,,,,,560,13962.425,5.0,1
,,,,,,,561,14634.056,5.0,1
,,,,,,,562,15636.474,5.0,1
,,,,,,,563,16114.039,5.0,1
,,,,,,,564,16461.354,5.0,1
,,,,,,,565,15981.95,5.0,1
,,,,,,,566,15969.523,5.0,1
,,,,,,,567,15826.463,5.0,1
,,,,,,,568,15586.606,5.0,1
,,,,,,,569,16344.505,5.0,1
,,,,,,,570,17468.818,5.0,1
,,,,,,,571,17319.934,5.0,1
,,,,,,,572,16640.529,5.0,1
,,,,,,,573,16376.204,5.0,1
,,,,,,,574,15561.976,5.0,1
,,,,,,,575,14266.054,5.0,1
,,,,,,,576,12872.946,5.0,1
,,,,,,,577,11982.365,5.0,1
,,,,,,,578,11451.747,5.0,1
,,,,,,,579,11157.361,5.0,1
,,,,,,,580,10902.603,5.0,1
,,,,,,,581,11921.194,5.0,1
,,,,,,,582,13079.772,5.0,1
,,,,,,,583,15499.331,5.0,1
,,,,,,,584,16832.702,5.0,1
,,,,,,,585,16911.751,5.0,1
,,,,,,,586,16464.262,5.0,1
,,,,,,,587,16550.012,5.0,1
