Time_Index,natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery
128,1.0,1.0,1.0,0.005605,0.2102,0.2942,0.2942,1.0
129,1.0,1.0,1.0,0.07248,0.196,0.3736,0.3736,1.0
130,1.0,1.0,1.0,0.207934,0.1683,0.4916,0.4916,1.0
131,1.0,1.0,1.0,0.336476,0.1262,0.5978,0.5978,1.0
132,1.0,1.0,1.0,0.375158,0.1153,0.6594,0.6594,1.0
133,1.0,1.0,1.0,0.374904,0.1306,0.7019,0.7019,1.0
134,1.0,1.0,1.0,0.305939,0.1087,0.734,0.734,1.0
135,1.0,1.0,1.0,0.166859,0.0857,0.7471,0.7471,1.0
136,1.0,1.0,1.0,0.060628,0.0929,0.7451,0.7451,1.0
137,1.0,1.0,1.0,0.004393,0.1626,0.7746,0.7746,1.0
138,1.0,1.0,1.0,0.0,0.212,0.794,0.794,1.0
139,1.0,1.0,1.0,0.0,0.2777,0.8325,0.8325,1.0
140,1.0,1.0,1.0,0.0,0.2408,0.8444,0.8444,1.0
141,1.0,1.0,1.0,0.0,0.2005,0.8299,0.8299,1.0
142,1.0,1.0,1.0,0.0,0.1508,0.8181,0.8181,1.0
143,1.0,1.0,1.0,0.0,0.1167,0.8149,0.8149,1.0
144,1.0,1.0,1.0,0.0,0.1463,0.7976,0.7976,1.0
145,1.0,1.0,1.0,0.0,0.1731,0.796,0.796,1.0
146,1.0,1.0,1.0,0.0,0.1783,0.7691,0.7691,1.0
147,1.0,1.0,1.0,0.0,0.1434,0.7423,0.7423,1.0
148,1.0,1.0,1.0,0.0,0.1481,0.7076,0.7076,1.0
149,1.0,1.0,1.0,0.0,0.1467,0.647,0.647,1.0
150,1.0,1.0,1.0,0.0,0.1031,0.5815,0.5815,1.0
151,1.0,1.0,1.0,0.0,0.0899,0.518,0.518,1.0
152,1.0,1.0,1.0,0.006808,0.0705,0.4534,0.4534,1.0
153,1.0,1.0,1.0,0.094072,0.0684,0.4954,0.4954,1.0
154,1.0,1.0,1.0,0.256919,0.0371,0.5456,0.5456,1.0
155,1.0,1.0,1.0,0.41483,0.0712,0.5623,0.5623,1.0
156,1.0,1.0,1.0,0.523635,0.0945,0.5941,0.5941,1.0
157,1.0,1.0,1.0,0.559438,0.0879,0.604,0.604,1.0
158,1.0,1.0,1.0,0.436413,0.0494,0.6111,0.6111,1.0
159,1.0,1.0,1.0,0.25339,0.0554,0.6263,0.6263,1.0
160,1.0,1.0,1.0,0.095325,0.0765,0.6466,0.6466,1.0
161,1.0,1.0,1.0,0.006996,0.1483,0.6671,0.6671,1.0
162,1.0,1.0,1.0,0.0,0.1929,0.6917,0.6917,1.0
163,1.0,1.0,1.0,0.0,0.3171,0.7058,0.7058,1.0
164,1.0,1.0,1.0,0.0,0.4945,0.7407,0.7407,1.0
165,1.0,1.0,1.0,0.0,0.4254,0.7645,0.7645,1.0
166,1.0,1.0,1.0,0.0,0.3737,0.7456,0.7456,1.0
167,1.0,1.0,1.0,0.0,0.4585,0.7477,0.7477,1.0
168,1.0,1.0,1.0,0.0,0.4995,0.7316,0.7316,1.0
169,1.0,1.0,1.0,0.0,0.576,0.7314,0.7314,1.0
170,1.0,1.0,1.0,0.0,0.6634,0.7076,0.7076,1.0
171,1.0,1.0,1.0,0.0,0.5883,0.6737,0.6737,1.0
172,1.0,1.0,1.0,0.0,0.5505,0.6427,0.6427,1.0
173,1.0,1.0,1.0,0.0,0.5257,0.5963,0.5963,1.0
174,1.0,1.0,1.0,0.0,0.5424,0.5244,0.5244,1.0
175,1.0,1.0,1.0,0.0,0.5087,0.4639,0.4639,1.0
176,1.0,1.0,1.0,0.009785,0.4322,0.4085,0.4085,1.0
177,1.0,1.0,1.0,0.104374,0.4357,0.3986,0.3986,1.0
178,1.0,1.0,1.0,0.220517,0.3906,0.3867,0.3867,1.0
179,1.0,1.0,1.0,0.279522,0.434,0.3194,0.3194,1.0
180,1.0,1.0,1.0,0.294245,0.3876,0.291,0.291,1.0
181,1.0,1.0,1.0,0.347966,0.3751,0.2488,0.2488,1.0
182,1.0,1.0,1.0,0.336063,0.3543,0.2428,0.2428,1.0
183,1.0,1.0,1.0,0.181068,0.3393,0.26,0.26,1.0
184,1.0,1.0,1.0,0.059437,0.3315,0.2894,0.2894,1.0
185,1.0,1.0,1.0,0.002593,0.3577,0.3216,0.3216,1.0
186,1.0,1.0,1.0,0.0,0.4046,0.401,0.401,1.0
187,1.0,1.0,1.0,0.0,0.4339,0.4598,0.4598,1.0
188,1.0,1.0,1.0,0.0,0.4588,0.5049,0.5049,1.0
189,1.0,1.0,1.0,0.0,0.4944,0.539,0.539,1.0
190,1.0,1.0,1.0,0.0,0.526,0.5612,0.5612,1.0
191,1.0,1.0,1.0,0.0,0.5457,0.5444,0.5444,1.0
192,1.0,1.0,1.0,0.0,0.5527,0.5142,0.5142,1.0
193,1.0,1.0,1.0,0.0,0.5223,0.4854,0.4854,1.0
194,1.0,1.0,1.0,0.0,0.467,0.4593,0.4593,1.0
195,1.0,1.0,1.0,0.0,0.4847,0.4305,0.4305,1.0
196,1.0,1.0,1.0,0.0,0.5452,0.3637,0.3637,1.0
197,1.0,1.0,1.0,0.0,0.4257,0.3173,0.3173,1.0
198,1.0,1.0,1.0,0.0,0.3711,0.2518,0.2518,1.0
199,1.0,1.0,1.0,0.0,0.3987,0.2038,0.2038,1.0
200,1.0,1.0,1.0,0.006792,0.3524,0.1897,0.1897,1.0
201,1.0,1.0,1.0,0.073317,0.2336,0.1547,0.1547,1.0
202,1.0,1.0,1.0,0.174631,0.1293,0.1291,0.1291,1.0
203,1.0,1.0,1.0,0.223525,0.0664,0.1177,0.1177,1.0
204,1.0,1.0,1.0,0.253867,0.0626,0.0806,0.0806,1.0
205,1.0,1.0,1.0,0.331629,0.0619,0.0442,0.0442,1.0
206,1.0,1.0,1.0,0.344314,0.0603,0.0219,0.0219,1.0
207,1.0,1.0,1.0,0.260786,0.1014,0.019,0.019,1.0
208,1.0,1.0,1.0,0.110087,0.1432,0.0299,0.0299,1.0
209,1.0,1.0,1.0,0.006601,0.2073,0.0526,0.0526,1.0
210,1.0,1.0,1.0,0.0,0.3216,0.0826,0.0826,1.0
211,1.0,1.0,1.0,0.0,0.378,0.1077,0.1077,1.0
212,1.0,1.0,1.0,0.0,0.5034,0.1422,0.1422,1.0
213,1.0,1.0,1.0,0.0,0.5297,0.1483,0.1483,1.0
214,1.0,1.0,1.0,0.0,0.5374,0.1887,0.1887,1.0
215,1.0,1.0,1.0,0.0,0.6164,0.2108,0.2108,1.0
216,1.0,1.0,1.0,0.0,0.5564,0.193,0.193,1.0
217,1.0,1.0,1.0,0.0,0.528,0.1821,0.1821,1.0
218,1.0,1.0,1.0,0.0,0.5407,0.1642,0.1642,1.0
219,1.0,1.0,1.0,0.0,0.5256,0.1567,0.1567,1.0
220,1.0,1.0,1.0,0.0,0.4905,0.1808,0.1808,1.0
221,1.0,1.0,1.0,0.0,0.446,0.1907,0.1907,1.0
222,1.0,1.0,1.0,0.0,0.4404,0.2172,0.2172,1.0
223,1.0,1.0,1.0,0.0,0.4761,0.2495,0.2495,1.0
224,1.0,1.0,1.0,0.006201,0.5185,0.2942,0.2942,1.0
225,1.0,1.0,1.0,0.068874,0.5654,0.3515,0.3515,1.0
226,1.0,1.0,1.0,0.132204,0.5776,0.4213,0.4213,1.0
227,1.0,1.0,1.0,0.166445,0.5149,0.5071,0.5071,1.0
228,1.0,1.0,1.0,0.296206,0.4278,0.5678,0.5678,1.0
229,1.0,1.0,1.0,0.360215,0.4329,0.6569,0.6569,1.0
230,1.0,1.0,1.0,0.289152,0.4083,0.7158,0.7158,1.0
231,1.0,1.0,1.0,0.17197,0.2977,0.6991,0.6991,1.0
232,1.0,1.0,1.0,0.063004,0.3173,0.7756,0.7756,1.0
233,1.0,1.0,1.0,0.0052,0.4548,0.8245,0.8245,1.0
234,1.0,1.0,1.0,0.0,0.5732,0.8483,0.8483,1.0
235,1.0,1.0,1.0,0.0,0.6638,0.8647,0.8647,1.0
236,1.0,1.0,1.0,0.0,0.7086,0.8709,0.8709,1.0
237,1.0,1.0,1.0,0.0,0.7431,0.8521,0.8521,1.0
238,1.0,1.0,1.0,0.0,0.7115,0.8163,0.8163,1.0
239,1.0,1.0,1.0,0.0,0.7069,0.8064,0.8064,1.0
240,1.0,1.0,1.0,0.0,0.7422,0.7573,0.7573,1.0
241,1.0,1.0,1.0,0.0,0.7425,0.6552,0.6552,1.0
242,1.0,1.0,1.0,0.0,0.7435,0.5799,0.5799,1.0
243,1.0,1.0,1.0,0.0,0.7239,0.5108,0.5108,1.0
244,1.0,1.0,1.0,0.0,0.6624,0.4543,0.4543,1.0
245,1.0,1.0,1.0,0.0,0.6403,0.3942,0.3942,1.0
246,1.0,1.0,1.0,0.0,0.546,0.3405,0.3405,1.0
247,1.0,1.0,1.0,0.0,0.5121,0.2871,0.2871,1.0
248,1.0,1.0,1.0,0.008391,0.4881,0.2308,0.2308,1.0
249,1.0,1.0,1.0,0.118667,0.2903,0.1903,0.1903,1.0
250,1.0,1.0,1.0,0.266701,0.1789,0.149,0.149,1.0
251,1.0,1.0,1.0,0.301002,0.1213,0.1223,0.1223,1.0
252,1.0,1.0,1.0,0.451835,0.1161,0.0907,0.0907,1.0
253,1.0,1.0,1.0,0.476921,0.0751,0.0666,0.0666,1.0
254,1.0,1.0,1.0,0.360582,0.0528,0.0467,0.0467,1.0
255,1.0,1.0,1.0,0.247626,0.0445,0.0328,0.0328,1.0
256,1.0,1.0,1.0,0.074565,0.0498,0.025,0.025,1.0
257,1.0,1.0,1.0,0.005784,0.0777,0.0253,0.0253,1.0
258,1.0,1.0,1.0,0.0,0.1051,0.0514,0.0514,1.0
259,1.0,1.0,1.0,0.0,0.1641,0.0874,0.0874,1.0
260,1.0,1.0,1.0,0.0,0.2246,0.1129,0.1129,1.0
261,1.0,1.0,1.0,0.0,0.2262,0.1711,0.1711,1.0
262,1.0,1.0,1.0,0.0,0.1913,0.236,0.236,1.0
263,1.0,1.0,1.0,0.0,0.1689,0.2834,0.2834,1.0
264,1.0,1.0,1.0,0.0,0.1557,0.3304,0.3304,1.0
265,1.0,1.0,1.0,0.0,0.1713,0.4299,0.4299,1.0
266,1.0,1.0,1.0,0.0,0.2011,0.5601,0.5601,1.0
267,1.0,1.0,1.0,0.0,0.2384,0.6869,0.6869,1.0
268,1.0,1.0,1.0,0.0,0.2499,0.7199,0.7199,1.0
269,1.0,1.0,1.0,0.0,0.2658,0.7625,0.7625,1.0
270,1.0,1.0,1.0,0.0,0.28,0.8072,0.8072,1.0
271,1.0,1.0,1.0,0.0,0.3347,0.8297,0.8297,1.0
272,1.0,1.0,1.0,0.001198,0.3946,0.8698,0.8698,1.0
273,1.0,1.0,1.0,0.008357,0.369,0.8806,0.8806,1.0
274,1.0,1.0,1.0,0.017131,0.3037,0.8648,0.8648,1.0
275,1.0,1.0,1.0,0.029828,0.3319,0.8841,0.8841,1.0
276,1.0,1.0,1.0,0.058232,0.3314,0.9014,0.9014,1.0
277,1.0,1.0,1.0,0.060164,0.3347,0.8887,0.8887,1.0
278,1.0,1.0,1.0,0.057348,0.3749,0.8688,0.8688,1.0
279,1.0,1.0,1.0,0.024184,0.4266,0.8297,0.8297,1.0
280,1.0,1.0,1.0,0.01093,0.4519,0.8521,0.8521,1.0
281,1.0,1.0,1.0,0.001204,0.4575,0.8555,0.8555,1.0
282,1.0,1.0,1.0,0.0,0.5331,0.8473,0.8473,1.0
283,1.0,1.0,1.0,0.0,0.5316,0.8926,0.8926,1.0
284,1.0,1.0,1.0,0.0,0.5431,0.9092,0.9092,1.0
285,1.0,1.0,1.0,0.0,0.5208,0.9072,0.9072,1.0
286,1.0,1.0,1.0,0.0,0.4445,0.8816,0.8816,1.0
287,1.0,1.0,1.0,0.0,0.403,0.8709,0.8709,1.0
288,1.0,1.0,1.0,0.0,0.3199,0.8565,0.8565,1.0
289,1.0,1.0,1.0,0.0,0.2945,0.8055,0.8055,1.0
290,1.0,1.0,1.0,0.0,0.2801,0.7389,0.7389,1.0
291,1.0,1.0,1.0,0.0,0.2337,0.7452,0.7452,1.0
292,1.0,1.0,1.0,0.0,0.2017,0.6974,0.6974,1.0
293,1.0,1.0,1.0,0.0,0.2039,0.6527,0.6527,1.0
294,1.0,1.0,1.0,0.0,0.1814,0.6027,0.6027,1.0
295,1.0,1.0,1.0,0.0,0.1458,0.6108,0.6108,1.0
296,1.0,1.0,1.0,0.004002,0.236,0.7428,0.7428,1.0
297,1.0,1.0,1.0,0.050871,0.2401,0.8196,0.8196,1.0
298,1.0,1.0,1.0,0.08893,0.2807,0.8702,0.8702,1.0
299,1.0,1.0,1.0,0.21275,0.2253,0.9026,0.9026,1.0
300,1.0,1.0,1.0,0.234419,0.2101,0.9041,0.9041,1.0
301,1.0,1.0,1.0,0.2696,0.2202,0.9087,0.9087,1.0
302,1.0,1.0,1.0,0.202241,0.3097,0.9086,0.9086,1.0
303,1.0,1.0,1.0,0.132751,0.3648,0.911,0.911,1.0
304,1.0,1.0,1.0,0.057891,0.4582,0.9102,0.9102,1.0
305,1.0,1.0,1.0,0.004596,0.578,0.9123,0.9123,1.0
306,1.0,1.0,1.0,0.0,0.639,0.8924,0.8924,1.0
307,1.0,1.0,1.0,0.0,0.702,0.9122,0.9122,1.0
308,1.0,1.0,1.0,0.0,0.7754,0.9105,0.9105,1.0
309,1.0,1.0,1.0,0.0,0.8213,0.9098,0.9098,1.0
310,1.0,1.0,1.0,0.0,0.7717,0.8981,0.8981,1.0
311,1.0,1.0,1.0,0.0,0.7408,0.9075,0.9075,1.0
312,1.0,1.0,1.0,0.0,0.7617,0.9082,0.9082,1.0
313,1.0,1.0,1.0,0.0,0.8032,0.9072,0.9072,1.0
314,1.0,1.0,1.0,0.0,0.7907,0.9088,0.9088,1.0
315,1.0,1.0,1.0,0.0,0.8374,0.9086,0.9086,1.0
316,1.0,1.0,1.0,0.0,0.8452,0.9091,0.9091,1.0
317,1.0,1.0,1.0,0.0,0.8383,0.9098,0.9098,1.0
318,1.0,1.0,1.0,0.0,0.8301,0.9113,0.9113,1.0
319,1.0,1.0,1.0,0.0,0.7748,0.9109,0.9109,1.0
320,1.0,1.0,1.0,0.01261,0.8128,0.9087,0.9087,1.0
321,1.0,1.0,1.0,0.073086,0.7837,0.9073,0.9073,1.0
322,1.0,1.0,1.0,0.178785,0.7849,0.901,0.901,1.0
323,1.0,1.0,1.0,0.335731,0.7415,0.8932,0.8932,1.0
324,1.0,1.0,1.0,0.470343,0.7129,0.8826,0.8826,1.0
325,1.0,1.0,1.0,0.570042,0.6593,0.882,0.882,1.0
326,1.0,1.0,1.0,0.460782,0.7192,0.8639,0.8639,1.0
327,1.0,1.0,1.0,0.340625,0.6795,0.8511,0.8511,1.0
328,1.0,1.0,1.0,0.135994,0.7498,0.8032,0.8032,1.0
329,1.0,1.0,1.0,0.010809,0.7254,0.8286,0.8286,1.0
330,1.0,1.0,1.0,0.0,0.7768,0.8326,0.8326,1.0
331,1.0,1.0,1.0,0.0,0.743,0.8818,0.8818,1.0
332,1.0,1.0,1.0,0.0,0.7544,0.8971,0.8971,1.0
333,1.0,1.0,1.0,0.0,0.7802,0.9047,0.9047,1.0
334,1.0,1.0,1.0,0.0,0.7763,0.9056,0.9056,1.0
335,1.0,1.0,1.0,0.0,0.773,0.9043,0.9043,1.0
336,1.0,1.0,1.0,0.0,0.7527,0.8989,0.8989,1.0
337,1.0,1.0,1.0,0.0,0.7214,0.8943,0.8943,1.0
338,1.0,1.0,1.0,0.0,0.7406,0.8868,0.8868,1.0
339,1.0,1.0,1.0,0.0,0.7379,0.8764,0.8764,1.0
340,1.0,1.0,1.0,0.0,0.7374,0.8392,0.8392,1.0
341,1.0,1.0,1.0,0.0,0.7733,0.8132,0.8132,1.0
342,1.0,1.0,1.0,0.0,0.7681,0.7825,0.7825,1.0
343,1.0,1.0,1.0,0.0,0.7827,0.7473,0.7473,1.0
344,1.0,1.0,1.0,0.011594,0.7636,0.7631,0.7631,1.0
345,1.0,1.0,1.0,0.143766,0.644,0.7995,0.7995,1.0
346,1.0,1.0,1.0,0.343683,0.6614,0.7761,0.7761,1.0
347,1.0,1.0,1.0,0.504407,0.6598,0.7798,0.7798,1.0
348,1.0,1.0,1.0,0.543254,0.6429,0.7882,0.7882,1.0
349,1.0,1.0,1.0,0.359332,0.7025,0.752,0.752,1.0
350,1.0,1.0,1.0,0.354749,0.7708,0.7595,0.7595,1.0
351,1.0,1.0,1.0,0.274702,0.7343,0.7503,0.7503,1.0
352,1.0,1.0,1.0,0.106392,0.714,0.7364,0.7364,1.0
353,1.0,1.0,1.0,0.009603,0.7067,0.7246,0.7246,1.0
354,1.0,1.0,1.0,0.0,0.7787,0.7667,0.7667,1.0
355,1.0,1.0,1.0,0.0,0.8104,0.8497,0.8497,1.0
356,1.0,1.0,1.0,0.0,0.8094,0.8981,0.8981,1.0
357,1.0,1.0,1.0,0.0,0.8014,0.8983,0.8983,1.0
358,1.0,1.0,1.0,0.0,0.7868,0.8911,0.8911,1.0
359,1.0,1.0,1.0,0.0,0.7821,0.8661,0.8661,1.0
360,1.0,1.0,1.0,0.0,0.7864,0.8246,0.8246,1.0
361,1.0,1.0,1.0,0.0,0.7691,0.7686,0.7686,1.0
362,1.0,1.0,1.0,0.0,0.769,0.7292,0.7292,1.0
363,1.0,1.0,1.0,0.0,0.7575,0.6601,0.6601,1.0
364,1.0,1.0,1.0,0.0,0.7432,0.5843,0.5843,1.0
365,1.0,1.0,1.0,0.0,0.7337,0.4241,0.4241,1.0
366,1.0,1.0,1.0,0.0,0.735,0.3265,0.3265,1.0
367,1.0,1.0,1.0,0.0,0.6875,0.2669,0.2669,1.0
368,1.0,1.0,1.0,0.010186,0.6465,0.2172,0.2172,1.0
369,1.0,1.0,1.0,0.134161,0.5445,0.1441,0.1441,1.0
370,1.0,1.0,1.0,0.325662,0.3861,0.0907,0.0907,1.0
371,1.0,1.0,1.0,0.486587,0.2216,0.0428,0.0428,1.0
