Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rel_TimeStep
,,,,,,,199.0,12460.853824981301,1337.0
,,,,,,,200.0,23351.365,1.0
,,,,,,,201.0,16995.6212,15.0
,,,,,,,202.0,20025.181,1.0
,,,,,,,203.0,22844.3116,5.0
,,,,,,,204.0,24121.669,1.0
,,,,,,,205.0,24002.565,1.0
,,,,,,,206.0,14251.483763587765,3367.0
,,,,,,,207.0,13071.315799019607,408.0
,,,,,,,208.0,13156.840801282051,312.0
,,,,,,,209.0,14726.364897222222,720.0
,,,,,,,210.0,17134.89138888889,90.0
,,,,,,,211.0,18825.057,1.0
,,,,,,,212.0,15723.907712609971,341.0
,,,,,,,213.0,14478.83671153846,312.0
,,,,,,,214.0,13902.708860119048,672.0
,,,,,,,215.0,13414.629423387096,744.0
,,,,,,,216.0,12921.987664351853,432.0
,,,,,,,217.0,14282.54233227041,4704.0
,,,,,,,218.0,13006.619418981483,432.0
,,,,,,,219.0,13985.000243055554,288.0
,,,,,,,220.0,14100.375494444443,720.0
,,,,,,,221.0,14458.444423245614,456.0
,,,,,,,222.0,15333.238065972222,288.0
,,,,,,,223.0,14360.663950892858,672.0
,,,,,,,224.0,13414.18997244624,744.0
,,,,,,,225.0,12321.614394736842,456.0
,,,,,,,226.0,12166.872287564765,1544.0
,,,,,,,227.0,11334.512,1.0
,,,,,,,228.0,14274.035805741627,3135.0
,,,,,,,229.0,13077.41533114035,456.0
,,,,,,,230.0,13091.932196969698,264.0
,,,,,,,231.0,14232.49320138889,720.0
,,,,,,,232.0,13834.56895407098,479.0
,,,,,,,233.0,14125.248116981133,265.0
,,,,,,,234.0,13815.220826254827,518.0
,,,,,,,235.0,13027.341,1.0
,,,,,,,236.0,12585.369739130432,23.0
,,,,,,,237.0,12423.068,1.0
,,,,,,,238.0,13213.394131782945,129.0
,,,,,,,239.0,12527.617900537634,744.0
,,,,,,,240.0,11402.97750575595,1303.0
,,,,,,,241.0,9148.291,1.0
,,,,,,,242.0,14519.640098185064,3361.0
,,,,,,,243.0,11005.6,1.0
,,,,,,,244.0,11503.336,1.0
,,,,,,,245.0,12059.682108742005,469.0
,,,,,,,246.0,12468.510908333332,720.0
,,,,,,,247.0,13915.029544444444,720.0
,,,,,,,248.0,14272.132620967743,744.0
,,,,,,,249.0,14375.44761458333,672.0
,,,,,,,250.0,13034.703991263441,744.0
,,,,,,,251.0,11964.082552205882,1360.0
,,,,,,,252.0,17072.165,1.0
,,,,,,,253.0,16910.535,1.0
,,,,,,,254.0,16323.586,1.0
,,,,,,,255.0,14077.308407766992,309.0
,,,,,,,256.0,23606.314,1.0
,,,,,,,257.0,23267.825,1.0
,,,,,,,258.0,14443.05556043956,455.0
,,,,,,,259.0,25542.904,1.0
,,,,,,,260.0,21274.768434782607,23.0
,,,,,,,261.0,26064.955,1.0
,,,,,,,262.0,21185.412954545456,22.0
,,,,,,,263.0,26244.128,1.0
,,,,,,,264.0,25422.173,1.0
,,,,,,,265.0,15440.135799814643,1079.0
,,,,,,,266.0,22237.596,1.0
,,,,,,,267.0,13656.4959685836,1878.0
,,,,,,,268.0,12705.765469444445,720.0
,,,,,,,269.0,13808.494594444443,720.0
,,,,,,,270.0,15149.49946639785,744.0
,,,,,,,271.0,14368.936977678572,672.0
,,,,,,,272.0,13123.927991263441,744.0
,,,,,,,273.0,12142.612262569834,1432.0
,,,,,,,274.0,17486.147,1.0
,,,,,,,275.0,15224.156602187288,1463.0
