Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS
,,,,,,,207.0,15009.748,20.0,0.0,1.0
,,,,,,,208.0,15074.4,20.0,0.0,1.0
,,,,,,,209.0,15773.708,20.0,0.0,1.0
,,,,,,,210.0,16669.421,20.0,0.0,1.0
,,,,,,,211.0,16529.678,20.0,0.0,1.0
,,,,,,,212.0,16111.217,20.0,0.0,1.0
,,,,,,,213.0,15499.345,20.0,0.0,1.0
,,,,,,,214.0,14524.148,20.0,0.0,1.0
,,,,,,,215.0,13341.447,20.0,0.0,1.0
,,,,,,,216.0,12314.215,20.0,0.0,1.0
,,,,,,,217.0,11651.833,20.0,0.0,1.0
,,,,,,,218.0,11284.114,20.0,0.0,1.0
,,,,,,,219.0,11119.906,20.0,0.0,1.0
,,,,,,,220.0,11128.56,20.0,0.0,1.0
,,,,,,,221.0,11492.501,20.0,0.0,1.0
,,,,,,,222.0,12532.911,20.0,0.0,1.0
,,,,,,,223.0,14294.551,20.0,0.0,1.0
,,,,,,,224.0,15243.026,20.0,0.0,1.0
,,,,,,,225.0,15415.843,20.0,0.0,1.0
,,,,,,,226.0,15582.464,20.0,0.0,1.0
,,,,,,,227.0,15764.778,20.0,0.0,1.0
,,,,,,,228.0,15811.723,20.0,0.0,1.0
,,,,,,,229.0,15736.845,20.0,0.0,1.0
,,,,,,,230.0,15718.849,20.0,0.0,1.0
,,,,,,,231.0,15631.559,20.0,0.0,1.0
,,,,,,,232.0,15709.133,20.0,0.0,1.0
,,,,,,,233.0,16415.033,20.0,0.0,1.0
,,,,,,,234.0,17370.738,20.0,0.0,1.0
,,,,,,,235.0,17329.475,20.0,0.0,1.0
,,,,,,,236.0,16978.821,20.0,0.0,1.0
,,,,,,,237.0,16415.643,20.0,0.0,1.0
,,,,,,,238.0,15509.058,20.0,0.0,1.0
,,,,,,,239.0,14333.102,20.0,0.0,1.0
,,,,,,,240.0,13306.608,20.0,0.0,1.0
,,,,,,,241.0,12672.687,20.0,0.0,1.0
,,,,,,,242.0,12338.043,20.0,0.0,1.0
,,,,,,,243.0,12186.023,20.0,0.0,1.0
,,,,,,,244.0,12252.402,20.0,0.0,1.0
,,,,,,,245.0,12653.859,20.0,0.0,1.0
,,,,,,,246.0,13702.97,20.0,0.0,1.0
,,,,,,,247.0,15452.401,20.0,0.0,1.0
,,,,,,,248.0,16444.463,20.0,0.0,1.0
,,,,,,,249.0,16563.518,20.0,0.0,1.0
,,,,,,,250.0,16522.858,20.0,0.0,1.0
,,,,,,,251.0,16502.063,20.0,0.0,1.0
,,,,,,,252.0,16434.164,20.0,0.0,1.0
,,,,,,,253.0,16276.078,20.0,0.0,1.0
,,,,,,,254.0,16138.443,20.0,0.0,1.0
,,,,,,,255.0,16059.158,20.0,0.0,1.0
,,,,,,,256.0,16202.701,20.0,0.0,1.0
,,,,,,,257.0,16853.17,20.0,0.0,1.0
,,,,,,,258.0,17657.41,20.0,0.0,1.0
,,,,,,,259.0,17536.221,20.0,0.0,1.0
,,,,,,,260.0,17220.73,20.0,0.0,1.0
,,,,,,,261.0,16748.413,20.0,0.0,1.0
,,,,,,,262.0,16095.421,20.0,0.0,1.0
,,,,,,,263.0,15141.864,20.0,0.0,1.0
,,,,,,,264.0,14243.645,20.0,0.0,1.0
,,,,,,,265.0,13540.982,20.0,0.0,1.0
,,,,,,,266.0,13172.814,20.0,0.0,1.0
,,,,,,,267.0,13005.259,20.0,0.0,1.0
,,,,,,,268.0,12949.291,20.0,0.0,1.0
,,,,,,,269.0,13075.455,20.0,0.0,1.0
,,,,,,,270.0,13473.657,20.0,0.0,1.0
