CO2,MinCapReq,UCommit,epsilon,repetition,total_cost,Run_time,Time_Indexes,Build_model_time,write_outputs_time
1,0,0,0.1424304,3.0,23931058004.329037,69.20798959732056,8358.0,236.882738406,5.623746607399999
1,0,0,0.16087784,3.0,23931057881.880108,68.62495121955871,8206.0,227.958468254,5.5056490532
1,0,0,0.19162358,3.0,23926094528.78392,62.33109192848205,7946.0,212.7248336404,5.304714338799999
1,0,0,0.23466761,3.0,23890152475.31172,57.131966733932494,7525.0,192.558795083,5.279309058
1,0,0,0.27771164,3.0,23890055670.23667,43.48953280448914,6924.0,158.618405685,4.409856126999999
1,0,0,0.31460653,3.0,23877253295.66696,39.70803799629211,6106.0,126.17549887279999,4.3675744122
1,0,0,0.38224715,3.0,23874458378.90779,21.61337661743164,4624.0,71.3250316102,3.0714157858
1,0,0,0.57974331,3.0,20990799190.19332,4.570400857925415,1438.0,7.2822377992,1.0519447756
1,0,0,0.78987166,3.0,15728824504.33233,0.5101038932800293,213.0,0.42496521000000004,0.37326413
1,0,0,1.0,3.0,8432682389.500231,0.07779216766357419,30.0,0.22184472680000003,0.3009325952
1,0,1,0.001,3.0,21395076575.637577,196.81147866249086,8760.0,59.956714657,6.012105249399999
1,0,1,0.02559659,3.0,21395310525.542507,169.02973918914796,8743.0,873.8631389646,5.8781387652
1,0,1,0.04404403,3.0,21395310525.547623,178.39655175209046,8715.0,890.5474024093999,8.2380165398
1,0,1,0.08093892,3.0,21395310527.612087,158.42628746032716,8631.0,832.3082919616002,5.714372438
1,0,1,0.10553551,3.0,21395379925.543964,183.63582305908204,8537.0,910.6401371936001,7.59959903
1,0,1,0.12398295,3.0,21395121532.384167,158.68894238471984,8465.0,847.059097434,6.7988013176
1,0,1,0.1424304,3.0,21393614686.060505,329.79626297950745,8358.0,816.8839395736,5.9972138566
1,0,1,0.16087784,3.0,21405621745.51789,137.4255799293518,8206.0,761.8856571714,5.221087465
1,0,1,0.19162358,3.0,21392329172.60049,370.3125166416168,7946.0,731.5873448646,8.7890689888
1,0,1,0.23466761,3.0,21395165840.18515,286.59368777275085,7525.0,654.4817596168,5.7840268904
1,0,1,0.27771164,3.0,21383767888.20494,375.4661955833435,6924.0,538.0085999138,4.5880668572
1,0,1,0.31460653,3.0,21392401386.168736,271.1016756534576,6106.0,425.2946348358,4.390761916600001
1,0,1,0.38224715,3.0,21357943111.83025,145.43845953941346,4624.0,238.52809304379997,3.0707837082
1,0,1,0.57974331,3.0,18785743914.99215,21.55887050628662,1438.0,22.4075540416,1.024336138
1,0,1,0.78987166,3.0,14734030846.68472,12.627011585235596,213.0,0.6590060604,0.2863649642
1,0,1,1.0,3.0,7981226447.249066,0.0531943798065185,30.0,0.077633837,0.0859908536
1,1,0,0.001,3.0,24272371796.873047,62.183870458602904,8760.0,60.1029846902,10.3607508234
1,1,0,0.02559659,3.0,24272371796.87258,71.76395297050476,8743.0,257.94853476540004,6.5667665905999995
1,1,0,0.04404403,3.0,24272371796.8729,76.5427487373352,8715.0,281.1962264872,7.021791048599999
1,1,0,0.08093892,3.0,24272371796.87299,85.26540179252625,8631.0,251.77358876859998,10.360062063200001
1,1,0,0.10553551,3.0,24272371796.87248,74.05978083610535,8537.0,286.38842974159996,7.925583184
1,1,0,0.12398295,3.0,24272371796.87281,67.9764256477356,8465.0,260.3057590514,7.690398851
1,1,0,0.1424304,3.0,24272371796.87284,66.41395630836487,8358.0,233.9680663512,5.6665430491999995
1,1,0,0.16087784,3.0,24272371772.52867,71.02126536369323,8206.0,229.3502266938,5.6175672294000005
1,1,0,0.19162358,3.0,24263681093.87445,74.17829818725586,7946.0,243.39042419440003,7.346639798
1,1,0,0.23466761,3.0,24230172489.669064,59.50463762283325,7525.0,194.6045845262,5.4297360253999996
1,1,0,0.27771164,3.0,24230171643.96714,48.67403697967529,6924.0,162.7116914502,4.9494543995999996
1,1,0,0.31460653,3.0,24226568752.654037,36.32970719337463,6106.0,124.74526694380002,4.020507578
1,1,0,0.38224715,3.0,24226465498.41221,23.14062104225159,4624.0,74.24852520639999,3.3772453324
1,1,0,0.57974331,3.0,21075594250.9554,4.3483234405517575,1438.0,7.0271059916,1.1004326446000001
1,1,0,0.78987166,3.0,15728824504.332325,0.3761028289794922,213.0,0.3693138854,0.1917850792
1,1,0,1.0,3.0,8432839804.219666,0.06253800392150874,30.0,0.0693702268,0.1245242832
1,1,1,0.001,3.0,21485965756.029755,250.5901146411896,8760.0,60.5841033192,6.2135241772
1,1,1,0.02559659,3.0,21485965756.02982,269.8299053192139,8743.0,865.644901217,10.5766344444
1,1,1,0.04404403,3.0,21506834525.26346,257.91345319747927,8715.0,1021.9666207088,9.232610279400001
1,1,1,0.08093892,3.0,21504082411.12184,152.5252053260803,8631.0,842.788171225,6.4870501954
1,1,1,0.10553551,3.0,21506834526.14496,210.9168751716614,8537.0,955.9841192261999,9.067667276
1,1,1,0.12398295,3.0,21506834526.14491,214.5138879776001,8465.0,886.1069803025999,8.603966070999999
1,1,1,0.1424304,3.0,21506834526.144943,246.3169345855713,8358.0,802.3809643384,10.822923449200001
1,1,1,0.16087784,3.0,21486771480.94919,163.6867341518402,8206.0,778.9385673078001,6.3378405936
1,1,1,0.19162358,3.0,21487567323.77048,302.48267936706543,7946.0,871.582448014,8.549708333199998
1,1,1,0.23466761,3.0,21475838339.2315,390.1300682067871,7525.0,645.7965067578,10.541359626799998
1,1,1,0.27771164,3.0,21467138026.465527,319.1006969451904,6924.0,584.3188002347999,7.119871508600001
1,1,1,0.31460653,3.0,21455334677.590706,240.21086297035217,6106.0,442.68730100539995,5.3402987964
1,1,1,0.38224715,3.0,21421428564.96685,145.94520440101624,4624.0,244.39406490720003,3.3724811678
1,1,1,0.57974331,3.0,18803807550.54391,15.454416275024414,1438.0,22.5400174054,1.1050268632
1,1,1,0.78987166,3.0,14672919477.150501,7.300305986404419,213.0,0.7517523314,0.2184504328
1,1,1,1.0,3.0,7981226447.249066,0.04811658859252926,30.0,0.0770033538,0.1028995798
2,0,0,0.001,3.0,18400250652.360672,99.8980655670166,8760.0,57.23157394479999,6.2507628726
2,0,0,0.02559659,3.0,18400250652.36078,88.86174640655517,8743.0,260.010857145,6.2561429316
2,0,0,0.04404403,3.0,18400250652.360245,100.59931802749634,8715.0,260.5255273796,5.8907760122
2,0,0,0.08093892,3.0,18400250652.360767,94.52129878997803,8631.0,248.2057327342,6.5716621864
2,0,0,0.10553551,3.0,18400250652.360577,98.24814023971558,8537.0,252.11979469899998,5.6089301354
2,0,0,0.12398295,3.0,18400250647.98741,94.36810278892517,8465.0,242.2173306362,5.3611558064
2,0,0,0.1424304,3.0,18400250644.257923,92.09029302597045,8358.0,235.4984286924,5.5064167294
2,0,0,0.16087784,3.0,18400244036.59726,77.98834595680236,8206.0,228.75653884940002,5.9411882216
2,0,0,0.19162358,3.0,18398009036.54923,76.98540000915527,7946.0,215.1440595784,5.1616227156
2,0,0,0.23466761,3.0,18380331542.68408,77.73717613220215,7525.0,195.0552705834,5.2531471736
2,0,0,0.27771164,3.0,18380272455.96845,54.123242712020875,6924.0,160.2652143532,4.4136237101999996
2,0,0,0.31460653,3.0,18372879104.91836,54.78572201728821,6106.0,127.9332205966,4.2666523
