Time_Index,CT_NG,ME_NG,MA_NG
327,2.7800000000000002,2.7800000000000002,2.7400000000000007
328,2.78,2.78,2.74
329,2.7800000000000002,2.7800000000000002,2.7400000000000007
330,2.78,2.78,2.74
331,2.78,2.78,2.74
332,2.78,2.78,2.74
333,2.78,2.78,2.74
334,2.78,2.78,2.74
335,2.78,2.78,2.74
336,2.78,2.78,2.74
337,2.78,2.78,2.74
338,2.78,2.78,2.74
339,2.78,2.78,2.74
340,2.78,2.78,2.74
341,2.78,2.78,2.74
342,2.7800000000000007,2.7800000000000007,2.740000000000001
343,2.78,2.78,2.74
344,2.7800000000000002,2.7800000000000002,2.7400000000000007
345,3.78,3.78,4.28
346,3.78,3.78,4.28
347,3.7800000000000002,3.7800000000000002,4.28
348,3.78,3.78,4.28
349,3.78,3.78,4.28
350,3.78,3.78,4.28
351,3.78,3.78,4.28
352,3.78,3.78,4.28
353,3.78,3.78,4.28
354,3.78,3.78,4.28
355,3.78,3.78,4.28
356,3.78,3.78,4.28
357,3.78,3.78,4.28
358,3.78,3.78,4.28
359,3.7800000000000007,3.7800000000000007,4.28
360,3.78,3.78,4.28
361,3.7800000000000002,3.7800000000000002,4.28
362,3.78,3.78,4.28
363,3.78,3.78,4.28
364,3.78,3.78,4.28
365,3.78,3.78,4.28
366,3.78,3.78,4.28
367,3.7799999999999994,3.7799999999999994,4.279999999999999
368,3.78,3.78,4.28
369,3.7799999999999994,3.7799999999999994,4.28
370,3.78,3.78,4.28
371,3.78,3.78,4.28
372,3.78,3.78,4.28
