Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rel_TimeStep
,,,,,,,185.0,14342.784923043853,1163.0
,,,,,,,186.0,14409.954583333334,48.0
,,,,,,,187.0,14484.850540178573,672.0
,,,,,,,188.0,15951.21414814815,81.0
,,,,,,,189.0,18652.516,1.0
,,,,,,,190.0,15530.038054858933,638.0
,,,,,,,191.0,15676.118166666665,72.0
,,,,,,,192.0,16696.008611607143,672.0
,,,,,,,193.0,15996.903275297616,672.0
,,,,,,,194.0,14789.746835443038,79.0
,,,,,,,195.0,18491.0,1.0
,,,,,,,196.0,18619.0,1.0
,,,,,,,197.0,18460.0,1.0
,,,,,,,198.0,18238.0,1.0
,,,,,,,199.0,17933.0,1.0
,,,,,,,200.0,17506.0,1.0
,,,,,,,201.0,14655.695555555556,450.0
,,,,,,,202.0,11153.0,1.0
,,,,,,,203.0,13609.283653846154,208.0
,,,,,,,204.0,14659.916666666666,72.0
,,,,,,,205.0,13475.768309859155,710.0
,,,,,,,206.0,12405.0,1.0
,,,,,,,207.0,12907.482142857143,168.0
,,,,,,,208.0,12423.0,1.0
,,,,,,,209.0,12903.163478260869,575.0
,,,,,,,210.0,15468.0,1.0
,,,,,,,211.0,14398.75,8.0
,,,,,,,212.0,13371.810344827587,58.0
,,,,,,,213.0,16047.0,1.0
,,,,,,,214.0,16183.0,1.0
,,,,,,,215.0,16157.0,2.0
,,,,,,,216.0,13529.184210526315,190.0
,,,,,,,217.0,14286.0,1.0
,,,,,,,218.0,14182.0,1.0
,,,,,,,219.0,14420.020689655172,290.0
,,,,,,,220.0,23896.0,1.0
,,,,,,,221.0,23616.0,1.0
,,,,,,,222.0,19862.521739130436,23.0
,,,,,,,223.0,23058.0,1.0
,,,,,,,224.0,16094.74351978172,733.0
,,,,,,,225.0,16641.0,1.0
,,,,,,,226.0,19662.571428571428,7.0
,,,,,,,227.0,20388.0,1.0
,,,,,,,228.0,20361.0,1.0
,,,,,,,229.0,20030.0,1.0
,,,,,,,230.0,17164.974882260598,637.0
,,,,,,,231.0,10913.0,1.0
,,,,,,,232.0,12069.0,1.0
,,,,,,,233.0,12971.0,1.0
,,,,,,,234.0,15769.835443037975,79.0
,,,,,,,235.0,20517.0,1.0
,,,,,,,236.0,13925.512132822478,1566.0
,,,,,,,237.0,12837.708333333334,72.0
,,,,,,,238.0,13984.279320987655,648.0
,,,,,,,239.0,15326.380555555555,720.0
,,,,,,,240.0,13740.708333333334,96.0
,,,,,,,241.0,17248.709558823528,272.0
,,,,,,,242.0,21001.0,1.0
,,,,,,,243.0,21173.0,4.0
,,,,,,,244.0,17123.33962264151,371.0
,,,,,,,245.0,15726.888888888889,252.0
,,,,,,,246.0,16707.0,1.0
,,,,,,,247.0,16042.0,21.0
,,,,,,,248.0,18046.0,1.0
,,,,,,,249.0,15258.433249370277,397.0
,,,,,,,250.0,13979.602272727272,176.0
,,,,,,,251.0,12838.0,1.0
,,,,,,,252.0,14534.232804232804,567.0
,,,,,,,253.0,14496.46875,96.0
,,,,,,,254.0,13462.64053254438,1352.0
,,,,,,,255.0,11368.0,1.0
,,,,,,,256.0,12183.0,1.0
,,,,,,,257.0,13264.881818181819,110.0
,,,,,,,258.0,13598.913385826772,127.0
,,,,,,,259.0,16742.0,1.0
,,,,,,,260.0,20387.666666666668,6.0
,,,,,,,261.0,22387.0,1.0
,,,,,,,262.0,22566.0,1.0
,,,,,,,263.0,22621.0,1.0
,,,,,,,264.0,14809.984375,64.0
,,,,,,,265.0,13962.0,1.0
,,,,,,,266.0,14169.2,5.0
,,,,,,,267.0,13837.0,1.0
,,,,,,,268.0,14065.083333333334,72.0
,,,,,,,269.0,21079.0,1.0
,,,,,,,270.0,20846.0,1.0
,,,,,,,271.0,16161.366972477064,109.0
,,,,,,,272.0,10912.0,1.0
