$/MWh,Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Rel_TimeStep
,,,,,,,,194.0,10048.0,2870.0,1370.0,1.0
,,,,,,,,195.0,9990.0,2853.0,1362.0,1.0
,,,,,,,,196.0,10334.0,2951.0,1408.0,1.0
,,,,,,,,197.0,10244.142857142857,2925.714285714286,1396.5714285714287,7.0
,,,,,,,,198.0,8302.222222222223,2371.0,1131.7777777777778,9.0
,,,,,,,,199.0,10312.0,2945.0,1406.0,1.0
,,,,,,,,200.0,10304.0,2943.0,1405.0,1.0
,,,,,,,,201.0,10179.666666666666,2907.3333333333335,1388.0,3.0
,,,,,,,,202.0,9877.0,2820.0,1347.0,1.0
,,,,,,,,203.0,9792.0,2796.0,1335.0,1.0
,,,,,,,,204.0,10075.0,2877.0,1373.0,1.0
,,,,,,,,205.0,8838.533333333333,2524.2,1204.8,15.0
,,,,,,,,206.0,10236.0,2923.0,1395.0,1.0
,,,,,,,,207.0,10329.0,2950.0,1408.0,1.0
,,,,,,,,208.0,10408.4,2972.6,1419.0,5.0
,,,,,,,,209.0,10453.0,2985.0,1425.0,1.0
,,,,,,,,210.0,9498.1875,2712.5625,1294.875,16.0
,,,,,,,,211.0,10710.0,3059.0,1460.0,1.0
,,,,,,,,212.0,10371.57142857143,2962.1428571428573,1414.0,7.0
,,,,,,,,213.0,9015.1875,2574.4375,1228.875,16.0
,,,,,,,,214.0,9272.0,2648.0,1264.0,1.0
,,,,,,,,215.0,9619.0,2747.0,1312.0,1.0
,,,,,,,,216.0,9477.0,2706.6,1292.4,5.0
,,,,,,,,217.0,9189.0,2625.0,1252.0,1.0
,,,,,,,,218.0,9551.0,2728.0,1302.0,1.0
,,,,,,,,219.0,8778.866666666667,2507.0666666666666,1196.7333333333333,15.0
,,,,,,,,220.0,9189.0,2625.0,1252.0,1.0
,,,,,,,,221.0,9570.0,2733.0,1305.0,1.0
,,,,,,,,222.0,9672.6,2762.4,1318.4,5.0
,,,,,,,,223.0,9559.0,2730.0,1303.0,1.0
,,,,,,,,224.0,9119.9375,2604.5625,1243.3125,16.0
,,,,,,,,225.0,10582.0,3022.0,1443.0,1.0
,,,,,,,,226.0,10512.0,3002.0,1433.0,2.0
,,,,,,,,227.0,10234.0,2922.6666666666665,1395.0,3.0
,,,,,,,,228.0,9951.0,2841.6666666666665,1356.3333333333333,3.0
,,,,,,,,229.0,9045.133333333333,2583.0666666666666,1233.0,15.0
,,,,,,,,230.0,10289.0,2939.0,1403.0,1.0
,,,,,,,,231.0,10297.0,2940.0,1403.0,1.0
,,,,,,,,232.0,10156.285714285714,2900.5714285714284,1384.4285714285713,7.0
,,,,,,,,233.0,9372.133333333333,2676.6,1277.5333333333333,15.0
,,,,,,,,234.0,10844.0,3096.0,1479.0,1.0
,,,,,,,,235.0,10789.0,3081.0,1471.0,1.0
,,,,,,,,236.0,10526.75,3006.25,1435.25,4.0
,,,,,,,,237.0,10257.0,2930.0,1398.0,1.0
,,,,,,,,238.0,10355.0,2957.0,1412.0,1.0
,,,,,,,,239.0,10783.0,3080.0,1470.0,1.0
,,,,,,,,240.0,9460.5,2701.875,1289.75,16.0
,,,,,,,,241.0,10124.857142857143,2891.4285714285716,1380.2857142857142,7.0
,,,,,,,,242.0,9397.470588235294,2683.9411764705883,1281.235294117647,17.0
,,,,,,,,243.0,10390.0,2967.0,1417.0,1.0
,,,,,,,,244.0,10243.5,2925.5,1396.5,2.0
,,,,,,,,245.0,9970.0,2848.0,1359.0,1.0
,,,,,,,,246.0,9853.0,2814.0,1343.0,1.0
,,,,,,,,247.0,9719.0,2775.0,1325.0,1.0
,,,,,,,,248.0,9674.0,2763.0,1319.0,1.0
,,,,,,,,249.0,9959.0,2845.0,1358.0,1.0
,,,,,,,,250.0,8612.2,2459.4666666666667,1174.0666666666666,15.0
,,,,,,,,251.0,9199.0,2627.0,1254.0,1.0
,,,,,,,,252.0,9876.8,2820.8,1346.6,5.0
,,,,,,,,253.0,9628.0,2749.0,1312.0,1.0
,,,,,,,,254.0,9559.0,2730.0,1303.0,1.0
,,,,,,,,255.0,9852.0,2814.0,1343.0,1.0
,,,,,,,,256.0,8896.533333333333,2541.0,1212.8,15.0
,,,,,,,,257.0,9707.5,2772.5,1323.0,2.0
,,,,,,,,258.0,10142.0,2896.0,1383.0,1.0
,,,,,,,,259.0,10113.666666666666,2888.3333333333335,1378.6666666666667,6.0
,,,,,,,,260.0,9819.933333333332,2804.4666666666667,1338.6666666666667,15.0
,,,,,,,,261.0,11148.0,3184.0,1520.0,1.0
,,,,,,,,262.0,11081.0,3165.0,1510.0,1.0
,,,,,,,,263.0,10625.142857142857,3034.5714285714284,1448.7142857142858,7.0
,,,,,,,,264.0,10958.166666666666,3129.5,1494.1666666666667,6.0
,,,,,,,,265.0,8634.0,2465.0,1177.0,1.0
,,,,,,,,266.0,8090.0,2310.0,1103.0,1.0
,,,,,,,,267.0,8904.125,2543.125,1214.0,8.0
,,,,,,,,268.0,10668.0,3046.0,1454.0,1.0
,,,,,,,,269.0,10395.5,2968.8333333333335,1417.3333333333333,6.0
,,,,,,,,270.0,10383.0,2965.0,1415.0,1.0
,,,,,,,,271.0,9820.137931034482,2804.551724137931,1338.7241379310344,29.0
,,,,,,,,272.0,8993.0,2569.0,1226.0,1.0
