MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Time_Index
1,0.12984193548387096,1,0.23924499758064516,0.13635483870967743,1,0.4709930552741935,1,1,1,162
1,0.1781,1,0.430206776,0.1668,1,0.878085494,1,1,1,163
1,0.3859,1,0.129357621,0.3594,1,0.643517971,1,1,1,164
1,0.6454571428571428,1,0.04557766785714285,0.6337428571428572,1,0.4673402182857142,1,1,1,165
1,0.3592,1,0.216820419,0.4068,1,0.66914618,1,1,1,166
1,0.1325,1,0.418335825,0.1851,1,0.727960706,1,1,1,167
1,0.19779999999999998,1,0.35300212804545456,0.19958295454545458,1,0.5629129016477272,1,1,1,168
1,0.6862199999999999,1,0.08944241480000001,0.68726,1,0.6232106567999999,1,1,1,169
1,0.5221,1,0.247117937,0.5478,1,0.80558908,1,1,1,170
1,0.3484,1,0.302383065,0.3858,1,0.87547338,1,1,1,171
1,0.05821176470588235,1,0.6051396639411765,0.06160588235294117,1,0.9308683732352941,1,1,1,172
1,0.5574,1,0.410449386,0.4843,1,0.987810135,1,1,1,173
1,0.18487499999999998,1,0.4659803866500001,0.17014,1,0.7769606783999999,1,1,1,174
1,0.1681,1,0.35289073,0.2003,1,0.043213755,1,1,1,175
1,0.43064,1,0.198581183,0.4577,1,0.1339386252,1,1,1,176
1,0.6303,1,0.238282189,0.6118,1,0.06855081,1,1,1,177
1,0.17673859649122806,1,0.5420816070526315,0.18492543859649124,1,0.5486399585263159,1,1,1,178
1,0.3867111111111111,1,0.9540708726666668,0.4086666666666667,1,0.2683093745555556,1,1,1,179
1,0.1838,1,0.25987231402531646,0.18213291139240506,1,0.4213685025569621,1,1,1,180
1,0.24719485294117646,1,0.7193347335294118,0.2692794117647059,1,0.7883906495073529,1,1,1,181
1,0.2808,1,0.89791584,0.3224,1,0.81540525,1,1,1,182
1,0.025686666666666667,1,0.274714907,0.02939333333333333,1,0.5651929040666667,1,1,1,183
1,0.3667,1,0.104705915,0.4154,1,0.78217864,1,1,1,184
1,0.2400237288135593,1,0.7897498622033897,0.25975932203389834,1,0.5103652017457626,1,1,1,185
1,0.0,1,0.723540962,0.0,1,0.339033753,1,1,1,186
1,0.0,1,0.5386975147499999,0.0,1,0.165670242375,1,1,1,187
1,0.0,1,0.84716779,0.0,1,0.117547646,1,1,1,188
1,0.0674,1,0.639957428,0.0783,1,0.091541469,1,1,1,189
1,0.2425,1,0.382031947,0.2579,1,0.06851235,1,1,1,190
1,0.4158,1,0.377838641,0.4056,1,0.033707358,1,1,1,191
1,0.2576346153846154,1,0.45463728839743595,0.26726923076923076,1,0.5233627279615384,1,1,1,192
1,0.3879,1,0.515062034,0.4475,1,0.663956642,1,1,1,193
1,0.04591875,1,0.7173731986875,0.054012500000000005,1,0.538148676875,1,1,1,194
1,0.3989,1,0.186982363,0.4242,1,0.203917563,1,1,1,195
1,0.55775,1,0.18831723,0.5962999999999999,1,0.36049050125,1,1,1,196
1,0.4497,1,0.646259665,0.5562,1,0.531021476,1,1,1,197
1,0.06537058823529411,1,0.5872824482352941,0.06790588235294116,1,0.5355769044705883,1,1,1,198
1,0.2308,1,0.188441843,0.2562,1,0.43602246,1,1,1,199
1,0.5423333333333333,1,0.012440074,0.5513666666666667,1,0.2980983953333333,1,1,1,200
1,0.6636,1,0.275457084,0.6494,1,0.63357091,1,1,1,201
1,0.57605,1,0.5746634975,0.557925,1,0.9003116787500001,1,1,1,202
1,0.3088,1,0.994439244,0.3336,1,0.938071132,1,1,1,203
1,0.1392,1,0.899679601,0.1808,1,0.924881101,1,1,1,204
1,0.22547619047619044,1,0.8620241623809526,0.23511428571428572,1,0.7668349885238096,1,1,1,205
1,0.5082,1,0.716081262,0.5563,1,0.802406669,1,1,1,206
1,0.3536,1,0.918618083,0.4041,1,0.833866239,1,1,1,207
1,0.1506,1,0.844124913,0.2055,1,0.880895615,1,1,1,208
1,0.23159565217391304,1,0.5477944157826088,0.22765217391304352,1,0.6062737198260869,1,1,1,209
1,0.1208,1,0.177771747,0.1457,1,0.03664995,1,1,1,210
1,0.006361538461538461,1,0.29786175723076924,0.007076923076923077,1,0.3299249857692308,1,1,1,211
1,0.2431,1,0.300489902,0.2584,1,0.319929838,1,1,1,212
1,0.6008555555555555,1,0.09611797744444445,0.6238333333333332,1,0.3989732067777778,1,1,1,213
1,0.1521,1,0.444852829,0.2091,1,0.729057014,1,1,1,214
1,0.009184615384615385,1,0.751284558,0.013330769230769231,1,0.6266171336153845,1,1,1,215
1,0.2571,1,0.143958166,0.2839,1,0.345888674,1,1,1,216
1,0.28846206896551724,1,0.3977614349310345,0.2968310344827586,1,0.5474518045517243,1,1,1,217
1,0.6489,1,0.703896582,0.6383,1,0.423125267,1,1,1,218
1,0.15783048780487804,1,0.6888649508292682,0.16860853658536587,1,0.813542843609756,1,1,1,219
1,0.0,1,0.00138881,0.0,1,0.048022453,1,1,1,220
1,0.0,1,0.342214018,0.0,1,0.72031796,1,1,1,221
1,0.0,1,0.042128015,0.0,1,0.054862633,1,1,1,222
1,0.0,1,0.7263753415,0.0,1,0.591635495,1,1,1,223
1,0.0005,1,0.010940572,0.0,1,0.063994192,1,1,1,224
1,0.23207916666666664,1,0.3417604614166667,0.22650833333333334,1,0.49584028249999995,1,1,1,225
1,0.0917,1,0.000481104,0.1251,1,0.253719687,1,1,1,226
1,0.2938844827586207,1,0.7182611353448275,0.29319655172413794,1,0.7476853759310346,1,1,1,227
1,0.15,1,0.357232004,0.2018,1,0.96430707,1,1,1,228
1,0.012983333333333333,1,0.7922422240000001,0.011941666666666665,1,0.7610989262500002,1,1,1,229
1,0.0959,1,0.58400923,0.1334,1,0.367600381,1,1,1,230
1,0.2821,1,0.131447449,0.3146,1,0.246390373,1,1,1,231
1,0.2664260869565217,1,0.7488294789130435,0.2801217391304348,1,0.8762408961739129,1,1,1,232
1,0.2796,1,0.117713973,0.3099,1,0.343654692,1,1,1,233
1,0.23637878787878785,1,0.34749782754545455,0.24984242424242423,1,0.5752453457272728,1,1,1,234
1,0.1398,1,0.073062316,0.1856,1,0.386239409,1,1,1,235
1,0.003533333333333333,1,0.17887438349999998,0.010483333333333332,1,0.29626340683333335,1,1,1,236
1,0.20325547445255476,1,0.14509985696350367,0.2085029197080292,1,0.2690947370729927,1,1,1,237
1,0.153,1,0.979010284,0.1756,1,0.251150817,1,1,1,238
1,0.17603162393162392,1,0.5546707886153848,0.19112564102564103,1,0.5852289788547008,1,1,1,239
1,0.504,1,0.377837986,0.5307,1,0.70243299,1,1,1,240
1,0.18371333333333334,1,0.38766118603333327,0.2059133333333333,1,0.3022284495666667,1,1,1,241
1,0.0,1,0.894701898,0.0,1,0.027137659,1,1,1,242
1,0.1946746666666667,1,0.3436915158066667,0.200838,1,0.3903106655733334,1,1,1,243
1,0.0891,1,0.370012134,0.1198,1,0.191739872,1,1,1,244
