Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,omega,Rel_TimeStep
,,,,,,,,104,10482.0,2994.0,1429.0,5.013736263736265,1
,,,,,,,,105,10532.0,3008.0,1436.0,5.013736263736265,1
,,,,,,,,106,10500.0,2999.0,1432.0,5.013736263736265,1
,,,,,,,,107,10474.0,2991.0,1428.0,5.013736263736265,1
,,,,,,,,108,10405.0,2972.0,1418.0,5.013736263736265,1
,,,,,,,,109,10322.0,2948.0,1407.0,5.013736263736265,1
,,,,,,,,110,10314.0,2945.0,1406.0,5.013736263736265,1
,,,,,,,,111,10285.0,2937.0,1402.0,5.013736263736265,1
,,,,,,,,112,10364.0,2960.0,1413.0,5.013736263736265,1
,,,,,,,,113,10868.0,3104.0,1482.0,5.013736263736265,1
,,,,,,,,114,11660.0,3330.0,1590.0,5.013736263736265,1
,,,,,,,,115,11630.0,3321.0,1585.0,5.013736263736265,1
,,,,,,,,116,11361.0,3245.0,1549.0,5.013736263736265,1
,,,,,,,,117,10911.0,3116.0,1488.0,5.013736263736265,1
,,,,,,,,118,10191.0,2910.0,1389.0,5.013736263736265,1
,,,,,,,,119,9244.0,2640.0,1260.0,5.013736263736265,1
,,,,,,,,120,8396.0,2398.0,1145.0,5.013736263736265,1
,,,,,,,,121,7822.0,2234.0,1066.0,5.013736263736265,1
,,,,,,,,122,7494.0,2140.0,1021.0,5.013736263736265,1
,,,,,,,,123,7343.0,2097.0,1001.0,5.013736263736265,1
,,,,,,,,124,7289.0,2082.0,994.0,5.013736263736265,1
,,,,,,,,125,7482.0,2137.0,1020.0,5.013736263736265,1
,,,,,,,,126,8142.0,2325.0,1110.0,5.013736263736265,1
,,,,,,,,127,9388.0,2681.0,1280.0,5.013736263736265,1
,,,,,,,,128,10233.0,2922.0,1395.0,5.013736263736265,1
,,,,,,,,129,10494.0,2997.0,1431.0,5.013736263736265,1
,,,,,,,,130,10665.0,3046.0,1454.0,5.013736263736265,1
,,,,,,,,131,10780.0,3079.0,1469.0,5.013736263736265,1
,,,,,,,,132,10817.0,3089.0,1474.0,5.013736263736265,1
,,,,,,,,133,10743.0,3068.0,1464.0,5.013736263736265,1
,,,,,,,,134,10657.0,3044.0,1453.0,5.013736263736265,1
,,,,,,,,135,10516.0,3003.0,1434.0,5.013736263736265,1
,,,,,,,,136,10468.0,2990.0,1427.0,5.013736263736265,1
,,,,,,,,137,10788.0,3081.0,1471.0,5.013736263736265,1
,,,,,,,,138,11254.0,3214.0,1535.0,5.013736263736265,1
,,,,,,,,139,11088.0,3167.0,1512.0,5.013736263736265,1
,,,,,,,,140,10715.0,3060.0,1461.0,5.013736263736265,1
,,,,,,,,141,10312.0,2945.0,1406.0,5.013736263736265,1
,,,,,,,,142,9767.0,2790.0,1332.0,5.013736263736265,1
,,,,,,,,143,9041.0,2582.0,1232.0,5.013736263736265,1
,,,,,,,,144,8305.0,2372.0,1132.0,5.013736263736265,1
,,,,,,,,145,7713.0,2203.0,1051.0,5.013736263736265,1
,,,,,,,,146,7356.0,2101.0,1003.0,5.013736263736265,1
